yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
200552023,20055,2023,VA003SP00,VA003SP00,,N,N,,I,SP: ALLEGHANY COUNTY,SP: ALLEGHANY COUNTY,State Police:,Alleghany County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,ALLEGHANY,Not Specified,Y,Y,Y
200562023,20056,2023,VA0040000,VA0040000,,N,N,,I,AMELIA,AMELIA CO SO AMELIA,Amelia,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,13561,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,22,1,23,1,11,12,1.7,2.6,1994-01-01,1996-07-01,1996-07-01,2012-06-01,,2019-04-01,N,AMELIA,"Richmond, VA",Y,Y,Y
200572023,20057,2023,VA004SP00,VA004SP00,,N,N,,I,SP: AMELIA COUNTY,SP: AMELIA COUNTY,State Police:,Amelia County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,AMELIA,"Richmond, VA",Y,Y,Y
200582023,20058,2023,VA0050000,VA0050000,,N,N,,I,AMHERST,AMHERST CO SO AMHERST,Amherst,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,29622,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,39,1,40,6,5,11,1.5,1.7,1994-01-01,1996-12-01,1996-12-01,2012-06-01,,2019-04-01,N,AMHERST,"Lynchburg, VA",Y,Y,Y
200592023,20059,2023,VA0050100,VA0050100,,N,N,,I,AMHERST,AMHERST PD,Amherst,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,2134,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,0,6,0,0,0,2.8,2.8,1994-01-01,1996-08-01,1996-08-01,2012-06-01,,2019-04-01,N,AMHERST,"Lynchburg, VA",Y,Y,Y
200612023,20061,2023,VA005SP00,VA005SP00,,N,N,,I,SP: AMHERST COUNTY,SP: AMHERST COUNTY,State Police:,Amherst County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,AMHERST,"Lynchburg, VA",Y,Y,Y
200622023,20062,2023,VA0060000,VA0060000,,N,N,,I,APPOMATTOX,APPOMATTOX CO SO APPOMATTOX,Appomattox,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,17067,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,20,0,20,2,2,4,1.3,1.4,1994-01-01,1998-03-01,1998-03-01,2012-06-01,,2019-09-01,N,APPOMATTOX,"Lynchburg, VA",Y,Y,Y
200642023,20064,2023,VA006SP00,VA006SP00,,N,N,,I,SP: APPOMATTOX COUNTY,SP DIVISION 3 APPOMATTOX,State Police:,Appomattox County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-08-01,,2019-04-01,N,APPOMATTOX,"Lynchburg, VA",Y,Y,Y
200652023,20065,2023,VA0070100,VA0070100,,N,N,,I,ARLINGTON COUNTY PD,ARLINGTON COUNTY PD ARLINGTON,Arlington County Police Department,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,231844,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,225,27,252,81,53,134,1.3,1.7,1994-01-01,2000-01-01,2000-01-01,2012-06-01,,2019-04-01,N,ARLINGTON,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Y,Y,Y
200672023,20067,2023,VA007SP00,VA007SP00,,N,N,,I,SP: ARLINGTON COUNTY,SP: ARLINGTON COUNTY,State Police:,Arlington County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2013-06-01,,2019-04-01,N,ARLINGTON,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Y,Y,Y
200682023,20068,2023,VA0080000,VA0080000,,N,N,,I,AUGUSTA,AUGUSTA CO SO,Augusta,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,78378,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,88,0,88,6,10,16,1.2,1.3,1994-01-01,1995-01-01,1995-01-01,2012-06-01,,2019-04-01,N,AUGUSTA,"Staunton-Stuarts Draft, VA",Y,Y,Y
200692023,20069,2023,VA008SP00,VA008SP00,,N,N,,I,SP: AUGUSTA COUNTY,SP: AUGUSTA COUNTY,State Police:,Augusta County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,AUGUSTA,"Staunton-Stuarts Draft, VA",Y,Y,Y
200702023,20070,2023,VA0090000,VA0090000,,N,N,,I,BATH,BATH CO SO WARM SPRINGS,Bath,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,3985,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,14,2,16,0,7,7,3.5,5.8,1994-01-01,1998-01-01,1998-01-01,2012-06-01,,2019-07-01,N,BATH,Not Specified,Y,Y,Y
200722023,20072,2023,VA009SP00,VA009SP00,,N,N,,I,SP: BATH COUNTY,SP: BATH COUNTY,State Police:,Bath County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,BATH,Not Specified,Y,Y,Y
200732023,20073,2023,VA0100000,VA0100000,,N,N,,I,BEDFORD,BEDFORD CO SO BEDFORD,Bedford,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,74795,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,83,1,84,12,8,20,1.3,1.4,1994-01-01,1997-06-01,1997-06-01,2012-06-01,,2019-06-01,N,BEDFORD,"Lynchburg, VA",Y,Y,Y
200742023,20074,2023,VA0100100,VA0100100,,N,N,,I,BEDFORD,BEDFORD PD,Bedford,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,6775,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,22,0,22,1,3,4,3.4,3.8,1994-01-01,1995-12-01,1995-12-01,2012-06-01,,2019-06-01,N,BEDFORD,"Lynchburg, VA",Y,Y,Y
200762023,20076,2023,VA010SP00,VA010SP00,,N,N,,I,SP: BEDFORD COUNTY,SP: BEDFORD COUNTY,State Police:,Bedford County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,BEDFORD,"Lynchburg, VA",Y,Y,Y
200772023,20077,2023,VA0110000,VA0110000,,N,N,,I,BLAND,BLAND CO SO BLAND,Bland,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,6099,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,12,3,15,1,4,5,2.1,3.3,1994-01-01,1996-06-01,1996-06-01,2012-06-01,,2019-04-01,N,BLAND,Not Specified,Y,Y,Y
200782023,20078,2023,VA011SP00,VA011SP00,,N,N,,I,SP: BLAND COUNTY,SP: BLAND COUNTY,State Police:,Bland County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,BLAND,Not Specified,Y,Y,Y
200792023,20079,2023,VA0120000,VA0120000,,N,N,,I,BOTETOURT,BOTETOURT CO SO FINCASTLE,Botetourt,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,34415,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,82,10,92,17,17,34,2.9,3.7,1994-01-01,1997-09-01,1997-09-01,2012-06-01,,2019-04-01,N,BOTETOURT,"Roanoke, VA",Y,Y,Y
200812023,20081,2023,VA012SP00,VA012SP00,,N,N,,I,SP: BOTETOURT COUNTY,SP: BOTETOURT COUNTY,State Police:,Botetourt County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,BOTETOURT,"Roanoke, VA",Y,Y,Y
200822023,20082,2023,VA0130000,VA0130000,,N,N,,I,BRUNSWICK,BRUNSWICK CO SO LAWRENCEVILLE,Brunswick,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,14966,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,32,4,36,3,11,14,2.3,3.3,1994-01-01,1999-01-01,1999-01-01,2012-06-01,,2019-04-01,N,BRUNSWICK,Not Specified,Y,Y,Y
200832023,20083,2023,VA0130100,VA0130100,,N,N,,I,LAWRENCEVILLE,LAWRENCEVILLE PD,Lawrenceville,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,1017,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,0,0,0,0,0,0,0.0,0.0,1994-01-01,1996-08-01,1996-08-01,2012-06-01,,2019-04-01,N,BRUNSWICK,Not Specified,Y,Y,Y
200842023,20084,2023,VA013SP00,VA013SP00,,N,N,,I,SP: BRUNSWICK COUNTY,SP: BRUNSWICK COUNTY,State Police:,Brunswick County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,BRUNSWICK,Not Specified,Y,Y,Y
200852023,20085,2023,VA0140000,VA0140000,,N,N,,I,BUCHANAN,BUCHANAN CO SO GRUNDY,Buchanan,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,18103,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,32,4,36,3,13,16,1.9,2.9,1994-01-01,1996-11-01,1996-11-01,2012-06-01,,2019-04-01,N,BUCHANAN,Not Specified,Y,Y,Y
200862023,20086,2023,VA0140100,VA0140100,,N,N,,I,GRUNDY,GRUNDY PD,Grundy,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,832,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,1,0,1,6.0,6.0,1994-01-01,1996-11-01,1996-11-01,2012-06-01,,2019-12-01,N,BUCHANAN,Not Specified,Y,Y,Y
200872023,20087,2023,VA014SP00,VA014SP00,,N,N,,I,SP: BUCHANAN COUNTY,SP: BUCHANAN COUNTY,State Police:,Buchanan County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,BUCHANAN,Not Specified,Y,Y,Y
200882023,20088,2023,VA0150000,VA0150000,,N,N,,I,BUCKINGHAM,BUCKINGHAM CO SO BUCKINGHAM,Buckingham,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,17075,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,17,2,19,1,8,9,1.1,1.6,1994-01-01,1999-11-01,1999-11-01,2012-06-01,,2019-04-01,N,BUCKINGHAM,Not Specified,Y,Y,Y
200892023,20089,2023,VA015SP00,VA015SP00,,N,N,,I,SP: BUCKINGHAM COUNTY,SP: BUCKINGHAM COUNTY,State Police:,Buckingham County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,BUCKINGHAM,Not Specified,Y,Y,Y
200902023,20090,2023,VA0160000,VA0160000,,N,N,,I,CAMPBELL,CAMPBELL CO SO RUSTBURG,Campbell,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,50568,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,58,1,59,10,9,19,1.3,1.5,1994-01-01,1997-06-01,1997-06-01,2012-06-01,,2019-09-01,N,CAMPBELL,"Lynchburg, VA",Y,Y,Y
200912023,20091,2023,VA0160100,VA0160100,,N,N,,I,ALTAVISTA,ALTAVISTA PD,Altavista,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,3307,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,0,10,3,1,4,3.9,4.2,1994-01-01,1997-02-01,1997-02-01,2012-06-01,,2019-10-01,N,CAMPBELL,"Lynchburg, VA",Y,Y,Y
200922023,20092,2023,VA0160200,VA0160200,,N,N,,I,BROOKNEAL,BROOKNEAL PD,Brookneal,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,1071,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,1.9,1.9,1994-01-01,1998-05-01,1998-05-01,2012-07-01,,2019-09-01,N,CAMPBELL,"Lynchburg, VA",Y,Y,Y
200932023,20093,2023,VA016SP00,VA016SP00,,N,N,,I,SP: CAMPBELL COUNTY,SP: CAMPBELL COUNTY,State Police:,Campbell County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,CAMPBELL,"Lynchburg, VA",Y,Y,Y
200942023,20094,2023,VA0170000,VA0170000,,N,N,,I,CAROLINE,CAROLINE CO SO BOWLING GREEN,Caroline,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,31296,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,40,2,42,14,20,34,1.7,2.4,1994-01-01,1999-04-01,1999-04-01,2012-06-01,,2021-10-01,N,CAROLINE,Not Specified,Y,Y,Y
200952023,20095,2023,VA0170100,VA0170100,,N,N,,I,BOWLING GREEN,BOWLING GREEN PD,Bowling Green,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,1217,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,1.6,1.6,1994-01-01,2007-01-01,2007-01-01,2019-06-01,,2019-06-01,N,CAROLINE,Not Specified,Y,Y,Y
200962023,20096,2023,VA017SP00,VA017SP00,,N,N,,I,SP: CAROLINE COUNTY,SP: CAROLINE COUNTY,State Police:,Caroline County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,CAROLINE,Not Specified,Y,Y,Y
200972023,20097,2023,VA0180000,VA0180000,,N,N,,I,CARROLL,CARROLL CO SO HILLSVILLE,Carroll,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,26324,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,40,8,48,3,5,8,1.6,2.1,1994-01-01,1995-11-01,1995-11-01,2012-06-01,,2019-04-01,N,CARROLL,Not Specified,Y,Y,Y
200982023,20098,2023,VA0180100,VA0180100,,N,N,,I,HILLSVILLE,HILLSVILLE PD,Hillsville,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,City,2850,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,1,13,0,0,0,4.2,4.6,1994-01-01,2003-01-01,2003-01-01,2012-06-01,,2019-04-01,N,CARROLL,Not Specified,Y,Y,Y
200992023,20099,2023,VA018SP00,VA018SP00,,N,N,,I,SP: CARROLL COUNTY,SP: CARROLL COUNTY,State Police:,Carroll County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-06-01,,2019-04-01,N,CARROLL,Not Specified,Y,Y,Y
201002023,20100,2023,VA0190000,VA0190000,,N,N,,I,CHARLES CITY,CHARLES CITY COUNTY SO CHARLES CITY,Charles City,,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,County,6542,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,12,0,12,3,6,9,2.3,3.2,1994-01-01,2001-06-01,2001-06-01,2012-07-01,,2020-03-01,N,CHARLES CITY,"Richmond, VA",Y,Y,Y
201012023,20101,2023,VA019SP00,VA019SP00,,N,N,,I,SP: CHARLES CITY COUNTY,SP: CHARLES CITY COUNTY,State Police:,Charles City County,A,51,Virginia,VA,VA,5,South Atlantic,3,South,Region III,State Police,0,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,1994-01-01,1994-01-01,1994-01-01,2012-07-01,,2019-04-01,N,CHARLES CITY,"Richmond, VA",Y,Y,Y
